raceId;year;round;circuitId;name;date;time
375;1988;4;32;Mexican Grand Prix;29.05.88;X
376;1988;5;7;Canadian Grand Prix;12.06.88;X
377;1988;6;37;Detroit Grand Prix;19.06.88;X
378;1988;7;34;French Grand Prix;03.07.88;X
379;1988;8;9;British Grand Prix;10.07.88;X
380;1988;9;10;German Grand Prix;24.07.88;X
381;1988;10;11;Hungarian Grand Prix;07.08.88;X
382;1988;11;13;Belgian Grand Prix;28.08.88;X
383;1988;12;14;Italian Grand Prix;11.09.88;X
384;1988;13;27;Portuguese Grand Prix;25.09.88;X
385;1988;14;26;Spanish Grand Prix;02.10.88;X
386;1988;15;22;Japanese Grand Prix;30.10.88;X
387;1988;16;29;Australian Grand Prix;13.11.88;X
388;1987;1;36;Brazilian Grand Prix;12.04.87;X
389;1987;2;21;San Marino Grand Prix;03.05.87;X
390;1987;3;13;Belgian Grand Prix;17.05.87;X
391;1987;4;6;Monaco Grand Prix;31.05.87;X
392;1987;5;37;Detroit Grand Prix;21.06.87;X
393;1987;6;34;French Grand Prix;05.07.87;X
394;1987;7;9;British Grand Prix;12.07.87;X
395;1987;8;10;German Grand Prix;26.07.87;X
396;1987;9;11;Hungarian Grand Prix;09.08.87;X
397;1987;10;23;Austrian Grand Prix;16.08.87;X
398;1987;11;14;Italian Grand Prix;06.09.87;X
399;1987;12;27;Portuguese Grand Prix;20.09.87;X
400;1987;13;26;Spanish Grand Prix;27.09.87;X
401;1987;14;32;Mexican Grand Prix;18.10.87;X
402;1987;15;22;Japanese Grand Prix;01.11.87;X
403;1987;16;29;Australian Grand Prix;15.11.87;X
404;1986;1;36;Brazilian Grand Prix;23.03.86;X
405;1986;2;26;Spanish Grand Prix;13.04.86;X
406;1986;3;21;San Marino Grand Prix;27.04.86;X
407;1986;4;6;Monaco Grand Prix;11.05.86;X
408;1986;5;13;Belgian Grand Prix;25.05.86;X
409;1986;6;7;Canadian Grand Prix;15.06.86;X
410;1986;7;37;Detroit Grand Prix;22.06.86;X
411;1986;8;34;French Grand Prix;06.07.86;X
412;1986;9;38;British Grand Prix;13.07.86;X
413;1986;10;10;German Grand Prix;27.07.86;X
414;1986;11;11;Hungarian Grand Prix;10.08.86;X
415;1986;12;23;Austrian Grand Prix;17.08.86;X
416;1986;13;14;Italian Grand Prix;07.09.86;X
417;1986;14;27;Portuguese Grand Prix;21.09.86;X
418;1986;15;32;Mexican Grand Prix;12.10.86;X
419;1986;16;29;Australian Grand Prix;26.10.86;X
420;1985;1;36;Brazilian Grand Prix;07.04.85;X
421;1985;2;27;Portuguese Grand Prix;21.04.85;X
422;1985;3;21;San Marino Grand Prix;05.05.85;X
423;1985;4;6;Monaco Grand Prix;19.05.85;X
424;1985;5;7;Canadian Grand Prix;16.06.85;X
425;1985;6;37;Detroit Grand Prix;23.06.85;X
426;1985;7;34;French Grand Prix;07.07.85;X
427;1985;8;9;British Grand Prix;21.07.85;X
428;1985;9;20;German Grand Prix;04.08.85;X
429;1985;10;23;Austrian Grand Prix;18.08.85;X
430;1985;11;39;Dutch Grand Prix;25.08.85;X
431;1985;12;14;Italian Grand Prix;08.09.85;X
432;1985;13;13;Belgian Grand Prix;15.09.85;X
433;1985;14;38;European Grand Prix;06.10.85;X
